ativo;dia_inicial;cost;gamma;tam_treino;evaluation;evaluationAlfa;kernel;kernelAlfa;type;typeAlfa;valor_real_anterior;valor_real;valor_predito;diffMod;perc_acerto
PETR4.SA.arff;4;1;0;25;5;COMBINED;0;Linear;3;EPSILON_SVR;7,96;0,1;9999;9998,9;9999000
PETR4.SA.arff;4;1048576;0,03125;35;4;RAE;2;RBF;3;EPSILON_SVR;7,96;7,85;8,07;0,22;102,82
PETR4.SA.arff;4;4096;0,0004882812;35;4;RAE;3;Sigmoid;3;EPSILON_SVR;7,96;7,85;7,76;0,09;98,91
PETR4.SA.arff;4;1048576;1024;35;4;RAE;1;Polynomial;3;EPSILON_SVR;7,96;7,85;9,37;1,52;119,31
PETR4.SA.arff;4;1;4;35;4;RAE;0;Linear;3;EPSILON_SVR;7,96;7,85;7,77;0,08;98,99
PETR4.SA.arff;4;1024;0,0009765625;35;1;RMSE;2;RBF;3;EPSILON_SVR;7,96;7,85;7,74;0,11;98,63
PETR4.SA.arff;4;65536;0,0000305176;35;1;RMSE;3;Sigmoid;3;EPSILON_SVR;7,96;7,85;7,76;0,09;98,91
PETR4.SA.arff;4;524288;0,00390625;35;1;RMSE;1;Polynomial;3;EPSILON_SVR;7,96;7,85;7,81;0,04;99,46
PETR4.SA.arff;4;1;4;35;1;RMSE;0;Linear;3;EPSILON_SVR;7,96;7,85;7,77;0,08;98,99
PETR4.SA.arff;4;32;0,03125;35;5;COMBINED;2;RBF;3;EPSILON_SVR;7,96;7,85;7,64;0,21;97,38
PETR4.SA.arff;4;32768;0,0000610352;35;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;7,96;7,85;7,76;0,09;98,91
PETR4.SA.arff;4;262144;0,00390625;35;5;COMBINED;1;Polynomial;3;EPSILON_SVR;7,96;7,85;7,73;0,12;98,52
PETR4.SA.arff;4;1;4;35;5;COMBINED;0;Linear;3;EPSILON_SVR;7,96;7,85;7,77;0,08;98,99
PETR4.SA.arff;4;256;0,0078125;45;4;RAE;2;RBF;3;EPSILON_SVR;7,96;7,85;7,73;0,12;98,43
PETR4.SA.arff;4;32768;0,0000610352;45;4;RAE;3;Sigmoid;3;EPSILON_SVR;7,96;7,85;7,81;0,04;99,44
PETR4.SA.arff;4;1048576;0,001953125;45;4;RAE;1;Polynomial;3;EPSILON_SVR;7,96;7,85;7,41;0,44;94,39
PETR4.SA.arff;4;2;4;45;4;RAE;0;Linear;3;EPSILON_SVR;7,96;7,85;7,81;0,04;99,44
PETR4.SA.arff;4;128;0,0078125;45;1;RMSE;2;RBF;3;EPSILON_SVR;7,96;7,85;7,78;0,07;99,1
PETR4.SA.arff;4;4096;0,0004882812;45;1;RMSE;3;Sigmoid;3;EPSILON_SVR;7,96;7,85;7,81;0,04;99,43
PETR4.SA.arff;4;1048576;0,001953125;45;1;RMSE;1;Polynomial;3;EPSILON_SVR;7,96;7,85;7,41;0,44;94,39
PETR4.SA.arff;4;2;4;45;1;RMSE;0;Linear;3;EPSILON_SVR;7,96;7,85;7,81;0,04;99,44
PETR4.SA.arff;4;512;0,00390625;45;5;COMBINED;2;RBF;3;EPSILON_SVR;7,96;7,85;7,78;0,07;99,04
PETR4.SA.arff;4;4096;0,0004882812;45;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;7,96;7,85;7,81;0,04;99,43
PETR4.SA.arff;4;1048576;0,001953125;45;5;COMBINED;1;Polynomial;3;EPSILON_SVR;7,96;7,85;7,41;0,44;94,39
PETR4.SA.arff;4;2;4;45;5;COMBINED;0;Linear;3;EPSILON_SVR;7,96;7,85;7,81;0,04;99,44
PETR4.SA.arff;5;2048;0,0000305176;25;4;RAE;2;RBF;3;EPSILON_SVR;8,05;7,96;7,93;0,03;99,64
PETR4.SA.arff;5;128;0,001953125;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;8,05;7,96;7,95;0,01;99,87
PETR4.SA.arff;5;1048576;0,0009765625;25;4;RAE;1;Polynomial;3;EPSILON_SVR;8,05;7,96;7,9;0,06;99,28
PETR4.SA.arff;5;0,125;4;25;4;RAE;0;Linear;3;EPSILON_SVR;8,05;7,96;7,93;0,03;99,65
PETR4.SA.arff;5;8192;0,0000305176;25;1;RMSE;2;RBF;3;EPSILON_SVR;8,05;7,96;8,01;0,05;100,58
PETR4.SA.arff;5;2;0,125;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;8,05;7,96;10,27;2,31;128,97
PETR4.SA.arff;5;1048576;0,0009765625;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;8,05;7,96;7,9;0,06;99,28
PETR4.SA.arff;5;0,5;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;8,05;7,96;8,01;0,05;100,6
PETR4.SA.arff;5;4096;0,0000305176;25;5;COMBINED;2;RBF;3;EPSILON_SVR;8,05;7,96;7,95;0,01;99,87
PETR4.SA.arff;5;2;0,125;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;8,05;7,96;10,27;2,31;128,97
PETR4.SA.arff;5;1048576;0,0009765625;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;8,05;7,96;7,9;0,06;99,28
PETR4.SA.arff;5;0,25;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;8,05;7,96;7,95;0,01;99,87
PETR4.SA.arff;5;32;0,0625;35;4;RAE;2;RBF;3;EPSILON_SVR;8,05;7,96;8,18;0,22;102,74
PETR4.SA.arff;5;32768;0,0000610352;35;4;RAE;3;Sigmoid;3;EPSILON_SVR;8,05;7,96;8,45;0,49;106,18
PETR4.SA.arff;5;262144;0,00390625;35;4;RAE;1;Polynomial;3;EPSILON_SVR;8,05;7,96;7,42;0,54;93,18
PETR4.SA.arff;5;2;4;35;4;RAE;0;Linear;3;EPSILON_SVR;8,05;7,96;8,45;0,49;106,18
PETR4.SA.arff;5;32;0,0625;35;1;RMSE;2;RBF;3;EPSILON_SVR;8,05;7,96;8,18;0,22;102,74
PETR4.SA.arff;5;32768;0,0002441406;35;1;RMSE;3;Sigmoid;3;EPSILON_SVR;8,05;7,96;8,82;0,86;110,77
PETR4.SA.arff;5;1048576;0,00390625;35;1;RMSE;1;Polynomial;3;EPSILON_SVR;8,05;7,96;7,79;0,17;97,91
PETR4.SA.arff;5;2;4;35;1;RMSE;0;Linear;3;EPSILON_SVR;8,05;7,96;8,45;0,49;106,18
PETR4.SA.arff;5;32;0,0625;35;5;COMBINED;2;RBF;3;EPSILON_SVR;8,05;7,96;8,18;0,22;102,74
PETR4.SA.arff;5;32768;0,0002441406;35;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;8,05;7,96;8,82;0,86;110,77
PETR4.SA.arff;5;1048576;0,00390625;35;5;COMBINED;1;Polynomial;3;EPSILON_SVR;8,05;7,96;7,79;0,17;97,91
PETR4.SA.arff;5;2;4;35;5;COMBINED;0;Linear;3;EPSILON_SVR;8,05;7,96;8,45;0,49;106,18
PETR4.SA.arff;5;65536;0,0001220703;45;4;RAE;2;RBF;3;EPSILON_SVR;8,05;7,96;8,47;0,51;106,42
PETR4.SA.arff;5;1048576;0,0004882812;45;4;RAE;3;Sigmoid;3;EPSILON_SVR;8,05;7,96;7,93;0,03;99,58
PETR4.SA.arff;5;524288;0,00390625;45;4;RAE;1;Polynomial;3;EPSILON_SVR;8,05;7,96;7,62;0,34;95,78
PETR4.SA.arff;5;65536;4;45;4;RAE;0;Linear;3;EPSILON_SVR;8,05;7,96;7,9;0,06;99,31
PETR4.SA.arff;5;65536;0,0001220703;45;1;RMSE;2;RBF;3;EPSILON_SVR;8,05;7,96;8,47;0,51;106,42
PETR4.SA.arff;5;32768;0,0002441406;45;1;RMSE;3;Sigmoid;3;EPSILON_SVR;8,05;7,96;8,36;0,4;105,01
PETR4.SA.arff;5;262144;0,00390625;45;1;RMSE;1;Polynomial;3;EPSILON_SVR;8,05;7,96;7,46;0,5;93,71
PETR4.SA.arff;5;65536;4;45;1;RMSE;0;Linear;3;EPSILON_SVR;8,05;7,96;7,9;0,06;99,31
PETR4.SA.arff;5;65536;0,0001220703;45;5;COMBINED;2;RBF;3;EPSILON_SVR;8,05;7,96;8,47;0,51;106,42
PETR4.SA.arff;5;32768;0,0002441406;45;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;8,05;7,96;8,36;0,4;105,01
PETR4.SA.arff;5;262144;0,00390625;45;5;COMBINED;1;Polynomial;3;EPSILON_SVR;8,05;7,96;7,46;0,5;93,71
PETR4.SA.arff;5;65536;4;45;5;COMBINED;0;Linear;3;EPSILON_SVR;8,05;7,96;7,9;0,06;99,31
PETR4.SA.arff;6;32768;0,0000610352;25;4;RAE;2;RBF;3;EPSILON_SVR;8,18;8,05;8,13;0,08;100,94
PETR4.SA.arff;6;32;0,0625;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;8,18;8,05;3,99;4,06;49,51
PETR4.SA.arff;6;1048576;0,001953125;25;4;RAE;1;Polynomial;3;EPSILON_SVR;8,18;8,05;8,42;0,37;104,64
PETR4.SA.arff;6;1;4;25;4;RAE;0;Linear;3;EPSILON_SVR;8,18;8,05;8,11;0,06;100,75
PETR4.SA.arff;6;65536;0,0000305176;25;1;RMSE;2;RBF;3;EPSILON_SVR;8,18;8,05;8,13;0,08;101,04
PETR4.SA.arff;6;8;0,125;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;8,18;8,05;18,35;10,3;227,95
PETR4.SA.arff;6;262144;0,00390625;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;8,18;8,05;8,22;0,17;102,07
PETR4.SA.arff;6;1;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;8,18;8,05;8,11;0,06;100,75
PETR4.SA.arff;6;32768;0,0000610352;25;5;COMBINED;2;RBF;3;EPSILON_SVR;8,18;8,05;8,13;0,08;100,94
PETR4.SA.arff;6;32;0,0625;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;8,18;8,05;3,99;4,06;49,51
PETR4.SA.arff;6;131072;0,00390625;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;8,18;8,05;8,42;0,37;104,64
PETR4.SA.arff;6;1;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;8,18;8,05;8,11;0,06;100,75
PETR4.SA.arff;6;16384;0,0000305176;35;4;RAE;2;RBF;3;EPSILON_SVR;8,18;8,05;8,03;0,02;99,72
PETR4.SA.arff;6;32;0,03125;35;4;RAE;3;Sigmoid;3;EPSILON_SVR;8,18;8,05;10,13;2,08;125,86
